,model,embedding_type,accuracy,precision,recall,f1-score,support
0,rf,glove,0.7193675889328063,0.7172659787513875,0.7192531400698697,0.7173656432229639,189.75
1,gaussian,glove,0.5810276679841897,0.5908573108451056,0.5775174198393239,0.5764828903354161,189.75
2,svm,glove,0.69433465085639,0.6971583488406934,0.6947435948457693,0.6933858590743784,189.75
3,lstm,glove,0.2714097499847412,0.7615283131599426,1.0,1.1989445686340332,
4,rf,tfidf,0.9525691699604744,0.9524603174603175,0.9524351582853606,0.9521795108815583,189.75
5,gaussian,tfidf,0.9657444005270093,0.9656425664891084,0.9649052456484287,0.9648732107000066,189.75
6,svm,tfidf,0.994729907773386,0.9946522534889042,0.9948846434909698,0.9947554173661454,189.75
7,lstm,tfidf,0.2714097499847412,0.8340548276901245,1.0,1.2221624851226807,
